mouse,lesion,DAPI_count,total_host_count,B220_count,CD4_count,CD8_count,area,nonrep_tb,rep_tb,total_tb,B220_percent,CD4_percent,CD8_percent,Other_percent,B220_prop,CD4_prop,CD8_prop,DAPI_prop,DAPI_count_500,total_host_count_500,B220_count_500,CD4_count_500,CD8_count_500,RS_index,log_rep_tb,log_nonrep_tb,log_total_tb,log_RS_index,log_RS_prop,RS_prop,Vaccination,Timepoint
BCG20,L05,682,1592,433,300,217,130151.4246,215,22,237,27.19849246,18.84422111,13.63065327,42.83919598,0.271984925,0.188442211,0.136306533,0.42839196,1.364,3.184,0.866,0.6,0.434,15.23314246,3.135494216,5.375278408,5.472270674,20.05070042,0.572978641,0.092827004,BCG,D114
BCG20,L06,2265,3380,215,469,435,330638.0963,134,8,142,6.360946746,13.87573964,12.86982249,67.01183432,0.063609467,0.138757396,0.128698225,0.670118343,4.53,6.76,0.43,0.938,0.87,2.508169213,2.197224577,4.905274778,4.96284463,6.576958278,0.442734911,0.056338028,BCG,D114
BCG20,L07,1357,3140,460,824,534,250469.7336,212,15,227,14.64968153,26.24203822,17.00636943,43.21656051,0.146496815,0.262420382,0.170063694,0.432165605,2.714,6.28,0.92,1.648,1.068,5.115070304,2.772588722,5.361292166,5.429345629,8.941982567,0.510667199,0.066079295,BCG,D114
BCG20,L08,1032,1854,119,449,259,153220.7863,296,36,332,6.418554477,24.21790723,13.96979504,55.66343042,0.064185545,0.242179072,0.13969795,0.556634304,2.064,3.708,0.238,0.898,0.518,21.77906061,3.610917913,5.693732139,5.80814249,19.86772391,0.621699264,0.108433735,BCG,D114
BCG20,L09,4254,6434,342,1229,646,469042.6117,335,18,353,5.315511346,19.1016475,10.04041032,66.11750078,0.053155113,0.191016475,0.100404103,0.661175008,8.508,12.868,0.684,2.458,1.292,2.947958374,2.944438979,5.81711116,5.869296913,4.617428922,0.501668091,0.050991501,BCG,D114
BCG20,L10,5449,9090,799,1755,1126,633145.4237,485,49,534,8.789878988,19.30693069,12.38723872,59.9449945,0.08789879,0.193069307,0.123872387,0.599449945,10.898,18.18,1.598,3.51,2.252,5.935150216,3.912023005,6.186208624,6.282266747,4.370481915,0.622708835,0.0917603,BCG,D114
BCG20,L11,3962,6076,892,656,614,559726.714,347,19,366,14.68071099,10.7965767,10.10533246,65.20737327,0.14680711,0.107965767,0.101053325,0.652073733,7.924,12.152,1.784,1.312,1.228,3.298279431,2.995732274,5.85220248,5.905361848,4.9752213,0.507290214,0.051912568,BCG,D114
BCG20,L12,1407,2842,705,479,338,184766.3402,209,11,220,24.80647431,16.85432794,11.89303308,49.50738916,0.248064743,0.168543279,0.118930331,0.495073892,2.814,5.684,1.41,0.958,0.676,4.074224971,2.48490665,5.347107531,5.398162702,8.826998584,0.460324519,0.05,BCG,D114
BCG20,L13,2045,2989,140,446,364,291467.1327,314,16,330,4.683840749,14.92137839,12.17798595,68.41753095,0.046838407,0.149213784,0.121779859,0.684175309,4.09,5.978,0.28,0.892,0.728,5.625723193,2.833213344,5.752572639,5.802118375,9.560439055,0.488306712,0.048484848,BCG,D114
BCG22,L01,10306,12950,1079,822,753,630036.1291,800,71,871,8.332046332,6.347490347,5.814671815,79.58301158,0.083320463,0.063474903,0.058146718,0.795830116,20.612,25.9,2.158,1.644,1.506,5.969208494,4.276666119,6.685860947,6.770789424,3.344394842,0.631634785,0.081515499,BCG,D114
BCG22,L02,1617,2052,93,168,176,124555.0547,35,4,39,4.532163743,8.187134503,8.576998051,78.80116959,0.045321637,0.081871345,0.085769981,0.788011696,3.234,4.104,0.186,0.336,0.352,2.172096909,1.609437912,3.583518938,3.688879454,8.073867734,0.436294526,0.102564103,BCG,D114
BCG22,L03,2248,2678,119,183,128,191810.7884,29,1,30,4.443614638,6.833457804,4.779686333,83.94324122,0.044436146,0.068334578,0.047796863,0.839432412,4.496,5.356,0.238,0.366,0.256,0.386289305,0.693147181,3.401197382,3.433987204,2.613254608,0.201849087,0.033333333,BCG,D114
BCG22,L04,4794,5523,156,300,273,263143.9894,251,30,281,2.824551874,5.431830527,4.942965779,86.80065182,0.028245519,0.054318305,0.049429658,0.868006518,9.588,11.046,0.312,0.6,0.546,6.081053299,3.433987204,5.529429088,5.641907071,6.344088972,0.608657172,0.106761566,BCG,D114
BCG22,L05,590,736,22,72,53,51267.20018,13,1,14,2.989130435,9.782608696,7.201086957,80.16304348,0.029891304,0.097826087,0.07201087,0.801630435,1.18,1.472,0.044,0.144,0.106,1.463210702,0.693147181,2.63905733,2.708050201,9.663969106,0.255958025,0.071428571,BCG,D114
BCG22,L06,3376,4058,272,268,150,200926.4003,122,12,134,6.702809266,6.604238541,3.696402169,83.19369147,0.067028093,0.066042385,0.036964022,0.831936915,6.752,8.116,0.544,0.536,0.3,3.247986168,2.564949357,4.812184355,4.905274778,6.442995611,0.522896162,0.089552239,BCG,D114
BCG23,L01,6161,7552,479,410,503,432173.2404,280,18,298,6.342690678,5.429025424,6.660487288,81.58103814,0.063426907,0.054290254,0.066604873,0.815810381,12.322,15.104,0.958,0.82,1.006,2.536697942,2.944438979,5.638354669,5.700443573,3.941820442,0.516528046,0.060402685,BCG,D114
BCG23,L02,9281,12425,1581,806,763,705485.0913,508,15,523,12.72434608,6.486921529,6.14084507,74.69617706,0.127243461,0.064869215,0.061408451,0.746961771,18.562,24.85,3.162,1.612,1.526,1.242890413,2.772588722,6.232448017,6.261491684,2.241858503,0.442800033,0.028680688,BCG,D114
BCG23,L03,24642,39035,9122,2937,2347,2018667.652,1353,85,1438,23.36877162,7.524016908,6.012552837,63.12796209,0.233687716,0.075240169,0.060125528,0.631279621,49.284,78.07,18.244,5.874,4.694,2.314332912,4.454347296,7.210818453,7.271703707,1.150751381,0.612558965,0.059109875,BCG,D114
BCG23,L04,5863,8176,1099,688,529,460382.5211,235,9,244,13.44178082,8.414872798,6.470156556,71.70988258,0.134417808,0.084148728,0.064701566,0.717098826,11.726,16.352,2.198,1.376,1.058,1.142940417,2.302585093,5.463831805,5.501258211,2.835564391,0.418556084,0.036885246,BCG,D114
BCG24,L01,9097,14230,3286,1082,774,686308.1748,163,27,190,23.09205903,7.603654252,5.43921293,63.92832045,0.23092059,0.076036543,0.054392129,0.639283204,18.194,28.46,6.572,2.164,1.548,2.211693088,3.33220451,5.099866428,5.252273428,2.411655519,0.634430891,0.142105263,BCG,D114
BCG24,L02,11638,17452,3485,1027,1321,859406.5684,192,43,235,19.96905799,5.884712354,7.569333028,66.68576667,0.19969058,0.058847124,0.07569333,0.666857667,23.276,34.904,6.97,2.054,2.642,3.015712144,3.784189634,5.262690189,5.463831805,2.251216199,0.692588969,0.182978723,BCG,D114
BCG25,L01,535,637,31,50,21,42303.09893,5,0,5,4.866562009,7.849293564,3.296703297,83.98744113,0.04866562,0.078492936,0.032967033,0.839874411,1.07,1.274,0.062,0.1,0.042,0,0,1.791759469,1.791759469,0,0,0,BCG,D114
BCG25,L02,1074,1313,42,167,30,72332.17214,13,2,15,3.198781417,12.7189642,2.284843869,81.79741051,0.031987814,0.127189642,0.022848439,0.817974105,2.148,2.626,0.084,0.334,0.06,1.757572207,1.098612289,2.63905733,2.772588722,8.790556186,0.396240625,0.133333333,BCG,D114
BCG25,L03,184,252,6,52,10,16756.07634,3,0,3,2.380952381,20.63492063,3.968253968,73.01587302,0.023809524,0.206349206,0.03968254,0.73015873,0.368,0.504,0.012,0.104,0.02,0,0,1.386294361,1.386294361,0,0,0,BCG,D114
